timestamp,dpid,port_no,utilization,link_label
1779293472.0,1,2,0.000000,s1_p2
1779293472.0,1,3,0.000000,s1_p3
1779293472.0,3,4,0.000000,s3_p4
1779293472.0,3,1,0.000000,s3_p1
1779293472.0,3,2,0.000000,s3_p2
1779293472.0,3,3,0.000000,s3_p3
1779293472.0,5,4,0.000000,s5_p4
1779293472.0,5,1,0.000000,s5_p1
1779293472.0,5,2,0.000000,s5_p2
1779293472.0,5,3,0.000000,s5_p3
1779293472.0,13,4,0.000000,s13_p4
1779293472.0,13,1,0.000000,s13_p1
1779293472.0,13,2,0.000000,s13_p2
1779293472.0,13,3,0.000000,s13_p3
1779293472.0,2,1,0.000000,s2_p1
1779293472.0,2,4,0.000000,s2_p4
1779293472.0,2,2,0.000000,s2_p2
1779293472.0,2,3,0.000000,s2_p3
1779293472.0,9,1,0.000000,s9_p1
1779293472.0,9,4,0.000000,s9_p4
1779293472.0,9,2,0.000000,s9_p2
1779293472.0,9,3,0.000000,s9_p3
1779293472.0,12,4,0.000000,s12_p4
1779293472.0,12,1,0.000000,s12_p1
1779293472.0,12,2,0.000000,s12_p2
1779293472.0,12,3,0.000000,s12_p3
1779293472.0,4,1,0.000000,s4_p1
1779293472.0,4,4,0.000000,s4_p4
1779293472.0,4,2,0.000000,s4_p2
1779293472.0,4,3,0.000000,s4_p3
1779293472.0,11,4,0.000000,s11_p4
1779293472.0,11,1,0.000000,s11_p1
1779293472.0,11,2,0.000000,s11_p2
1779293472.0,11,3,0.000000,s11_p3
1779293472.0,13,4,0.000000,s13_p4
1779293472.0,13,1,0.000000,s13_p1
1779293472.0,13,2,0.000000,s13_p2
1779293472.0,13,3,0.000000,s13_p3
1779293472.0,10,4,0.000000,s10_p4
1779293472.0,10,1,0.000000,s10_p1
1779293472.0,10,2,0.000000,s10_p2
1779293472.0,10,3,0.000000,s10_p3
1779293472.0,1,4,0.000000,s1_p4
1779293472.0,1,1,0.000000,s1_p1
1779293472.0,1,2,0.000000,s1_p2
1779293472.0,1,3,0.000000,s1_p3
1779293472.0,6,1,0.000000,s6_p1
1779293472.0,6,4,0.000000,s6_p4
1779293472.0,6,2,0.000000,s6_p2
1779293472.0,6,3,0.000000,s6_p3
1779293472.0,4,1,0.000000,s4_p1
1779293472.0,4,4,0.000000,s4_p4
1779293472.0,4,2,0.000000,s4_p2
1779293472.0,4,3,0.000000,s4_p3
1779293472.0,12,4,0.000000,s12_p4
1779293472.0,12,1,0.000000,s12_p1
1779293472.0,12,2,0.000000,s12_p2
1779293472.0,12,3,0.000000,s12_p3
1779293472.0,11,4,0.000000,s11_p4
1779293472.0,11,1,0.000000,s11_p1
1779293472.0,11,2,0.000000,s11_p2
1779293472.0,11,3,0.000000,s11_p3
1779293472.0,9,1,0.000000,s9_p1
1779293472.0,9,4,0.000000,s9_p4
1779293472.0,9,2,0.000000,s9_p2
1779293472.0,9,3,0.000000,s9_p3
1779293472.0,7,1,0.000000,s7_p1
1779293472.0,7,4,0.000000,s7_p4
1779293472.0,7,2,0.000000,s7_p2
1779293472.0,7,3,0.000000,s7_p3
1779293472.0,2,1,0.000000,s2_p1
1779293472.0,2,4,0.000000,s2_p4
1779293472.0,2,2,0.000000,s2_p2
1779293472.0,2,3,0.000000,s2_p3
1779293472.0,3,4,0.000000,s3_p4
1779293472.0,3,1,0.000000,s3_p1
1779293472.0,3,2,0.000000,s3_p2
1779293472.0,3,3,0.000000,s3_p3
1779293472.0,14,1,0.000000,s14_p1
1779293472.0,14,4,0.000000,s14_p4
1779293472.0,14,2,0.000000,s14_p2
1779293472.0,14,3,0.000000,s14_p3
1779293472.0,5,4,0.000000,s5_p4
1779293472.0,5,1,0.000000,s5_p1
1779293472.0,5,2,0.000000,s5_p2
1779293472.0,5,3,0.000000,s5_p3
1779293473.0,8,4,0.000000,s8_p4
1779293473.0,8,1,0.000000,s8_p1
1779293473.0,8,2,0.000000,s8_p2
1779293473.0,8,3,0.000000,s8_p3
1779293473.0,1,4,0.000000,s1_p4
1779293473.0,1,1,0.000000,s1_p1
1779293473.0,1,2,0.000000,s1_p2
1779293473.0,1,3,0.000000,s1_p3
1779293473.0,6,1,0.000000,s6_p1
1779293473.0,6,4,0.000000,s6_p4
1779293473.0,6,2,0.000000,s6_p2
1779293473.0,6,3,0.000000,s6_p3
1779293473.0,10,4,0.000000,s10_p4
1779293473.0,10,1,0.000000,s10_p1
1779293473.0,10,2,0.000000,s10_p2
1779293473.0,10,3,0.000000,s10_p3
1779293473.0,14,1,0.000000,s14_p1
1779293473.0,14,4,0.000000,s14_p4
1779293473.0,14,2,0.000000,s14_p2
1779293473.0,14,3,0.000000,s14_p3
1779293473.0,12,4,0.000000,s12_p4
1779293473.0,12,1,0.000000,s12_p1
1779293473.0,12,2,0.000000,s12_p2
1779293473.0,12,3,0.000000,s12_p3
1779293473.0,11,4,0.000000,s11_p4
1779293473.0,11,1,0.000000,s11_p1
1779293473.0,11,2,0.000000,s11_p2
1779293473.0,11,3,0.000000,s11_p3
1779293473.0,13,4,0.000000,s13_p4
1779293473.0,13,1,0.000000,s13_p1
1779293473.0,13,2,0.000000,s13_p2
1779293473.0,13,3,0.000000,s13_p3
1779293473.0,16,1,0.000000,s16_p1
1779293473.0,16,4,0.000000,s16_p4
1779293473.0,16,2,0.000000,s16_p2
1779293473.0,16,3,0.000000,s16_p3
1779293473.0,5,4,0.000000,s5_p4
1779293473.0,5,1,0.000000,s5_p1
1779293473.0,5,2,0.000000,s5_p2
1779293473.0,5,3,0.000000,s5_p3
1779293473.0,15,4,0.000000,s15_p4
1779293473.0,15,1,0.000000,s15_p1
1779293473.0,15,2,0.000000,s15_p2
1779293473.0,15,3,0.000000,s15_p3
1779293473.0,7,1,0.000000,s7_p1
1779293473.0,7,4,0.000000,s7_p4
1779293473.0,7,2,0.000000,s7_p2
1779293473.0,7,3,0.000000,s7_p3
1779293473.0,9,1,0.000000,s9_p1
1779293473.0,9,4,0.000000,s9_p4
1779293473.0,9,2,0.000000,s9_p2
1779293473.0,9,3,0.000000,s9_p3
1779293473.0,2,1,0.000000,s2_p1
1779293473.0,2,4,0.000000,s2_p4
1779293473.0,2,2,0.000000,s2_p2
1779293473.0,2,3,0.000000,s2_p3
1779293473.0,4,1,0.000000,s4_p1
1779293473.0,4,4,0.000000,s4_p4
1779293473.0,4,2,0.000000,s4_p2
1779293473.0,4,3,0.000000,s4_p3
1779293473.0,3,4,0.000000,s3_p4
1779293473.0,3,1,0.000000,s3_p1
1779293473.0,3,2,0.000000,s3_p2
1779293473.0,3,3,0.000000,s3_p3
1779293473.0,10,4,0.000000,s10_p4
1779293473.0,10,1,0.000000,s10_p1
1779293473.0,10,2,0.000000,s10_p2
1779293473.0,10,3,0.000000,s10_p3
1779293473.0,3,4,0.000000,s3_p4
1779293473.0,3,1,0.000000,s3_p1
1779293473.0,3,2,0.000000,s3_p2
1779293473.0,3,3,0.000000,s3_p3
1779293473.0,1,4,0.000000,s1_p4
1779293473.0,1,1,0.000000,s1_p1
1779293473.0,1,2,0.000000,s1_p2
1779293473.0,1,3,0.000000,s1_p3
1779293473.0,6,1,0.000000,s6_p1
1779293473.0,6,4,0.000000,s6_p4
1779293473.0,6,2,0.000000,s6_p2
1779293473.0,6,3,0.000000,s6_p3
1779293473.0,14,1,0.000000,s14_p1
1779293473.0,14,4,0.000000,s14_p4
1779293473.0,14,2,0.000000,s14_p2
1779293473.0,14,3,0.000000,s14_p3
1779293473.0,7,1,0.000000,s7_p1
1779293473.0,7,4,0.000000,s7_p4
1779293473.0,7,2,0.000000,s7_p2
1779293473.0,7,3,0.000000,s7_p3
1779293473.0,8,4,0.000000,s8_p4
1779293473.0,8,1,0.000000,s8_p1
1779293473.0,8,2,0.000000,s8_p2
1779293473.0,8,3,0.000000,s8_p3
1779293473.0,4,1,0.000000,s4_p1
1779293473.0,4,4,0.000000,s4_p4
1779293473.0,4,2,0.000000,s4_p2
1779293473.0,4,3,0.000000,s4_p3
1779293473.0,5,4,0.000000,s5_p4
1779293473.0,5,1,0.000000,s5_p1
1779293473.0,5,2,0.000000,s5_p2
1779293473.0,5,3,0.000000,s5_p3
1779293473.0,12,4,0.000000,s12_p4
1779293473.0,12,1,0.000000,s12_p1
1779293473.0,12,2,0.000000,s12_p2
1779293473.0,12,3,0.000000,s12_p3
1779293473.0,13,4,0.000000,s13_p4
1779293473.0,13,1,0.000000,s13_p1
1779293473.0,13,2,0.000000,s13_p2
1779293473.0,13,3,0.000000,s13_p3
1779293473.0,15,4,0.000000,s15_p4
1779293473.0,15,1,0.000000,s15_p1
1779293473.0,15,2,0.000000,s15_p2
1779293473.0,15,3,0.000000,s15_p3
1779293473.0,17,4,0.000000,s17_p4
1779293473.0,17,1,0.000000,s17_p1
1779293473.0,17,2,0.000000,s17_p2
1779293473.0,17,3,0.000000,s17_p3
1779293473.0,16,1,0.000000,s16_p1
1779293473.0,16,4,0.000000,s16_p4
1779293473.0,16,2,0.000000,s16_p2
1779293473.0,16,3,0.000000,s16_p3
1779293473.0,11,4,0.000000,s11_p4
1779293473.0,11,1,0.000000,s11_p1
1779293473.0,11,2,0.000000,s11_p2
1779293473.0,11,3,0.000000,s11_p3
1779293473.0,9,1,0.000000,s9_p1
1779293473.0,9,4,0.000000,s9_p4
1779293473.0,9,2,0.000000,s9_p2
1779293473.0,9,3,0.000000,s9_p3
1779293473.0,18,4,0.000000,s18_p4
1779293473.0,18,1,0.000000,s18_p1
1779293473.0,18,2,0.000000,s18_p2
1779293473.0,18,3,0.000000,s18_p3
1779293473.0,2,1,0.000000,s2_p1
1779293473.0,2,4,0.000000,s2_p4
1779293473.0,2,2,0.000000,s2_p2
1779293473.0,2,3,0.000000,s2_p3
1779293474.0,14,1,0.000000,s14_p1
1779293474.0,14,4,0.000000,s14_p4
1779293474.0,14,2,0.000000,s14_p2
1779293474.0,14,3,0.000000,s14_p3
1779293474.0,1,4,0.000000,s1_p4
1779293474.0,1,1,0.000000,s1_p1
1779293474.0,1,2,0.000000,s1_p2
1779293474.0,1,3,0.000000,s1_p3
1779293474.0,18,4,0.000000,s18_p4
1779293474.0,18,1,0.000000,s18_p1
1779293474.0,18,2,0.000000,s18_p2
1779293474.0,18,3,0.000000,s18_p3
1779293474.0,12,4,0.000000,s12_p4
1779293474.0,12,1,0.000000,s12_p1
1779293474.0,12,2,0.000000,s12_p2
1779293474.0,12,3,0.000000,s12_p3
1779293474.0,10,4,0.000000,s10_p4
1779293474.0,10,1,0.000000,s10_p1
1779293474.0,10,2,0.000000,s10_p2
1779293474.0,10,3,0.000000,s10_p3
1779293474.0,8,4,0.000000,s8_p4
1779293474.0,8,1,0.000000,s8_p1
1779293474.0,8,2,0.000000,s8_p2
1779293474.0,8,3,0.000000,s8_p3
1779293474.0,4,1,0.000000,s4_p1
1779293474.0,4,4,0.000000,s4_p4
1779293474.0,4,2,0.000000,s4_p2
1779293474.0,4,3,0.000000,s4_p3
1779293474.0,20,1,0.000000,s20_p1
1779293474.0,20,4,0.000000,s20_p4
1779293474.0,20,2,0.000000,s20_p2
1779293474.0,20,3,0.000000,s20_p3
1779293474.0,7,1,0.000000,s7_p1
1779293474.0,7,4,0.000000,s7_p4
1779293474.0,7,2,0.000000,s7_p2
1779293474.0,7,3,0.000000,s7_p3
1779293474.0,15,4,0.000000,s15_p4
1779293474.0,15,1,0.000000,s15_p1
1779293474.0,15,2,0.000000,s15_p2
1779293474.0,15,3,0.000000,s15_p3
1779293474.0,5,4,0.000000,s5_p4
1779293474.0,5,1,0.000000,s5_p1
1779293474.0,5,2,0.000000,s5_p2
1779293474.0,5,3,0.000000,s5_p3
1779293474.0,3,4,0.000000,s3_p4
1779293474.0,3,1,0.000000,s3_p1
1779293474.0,3,2,0.000000,s3_p2
1779293474.0,3,3,0.000000,s3_p3
1779293474.0,13,4,0.000000,s13_p4
1779293474.0,13,1,0.000000,s13_p1
1779293474.0,13,2,0.000000,s13_p2
1779293474.0,13,3,0.000000,s13_p3
1779293474.0,2,1,0.000000,s2_p1
1779293474.0,2,4,0.000000,s2_p4
1779293474.0,2,2,0.000000,s2_p2
1779293474.0,2,3,0.000000,s2_p3
1779293474.0,16,1,0.000000,s16_p1
1779293474.0,16,4,0.000000,s16_p4
1779293474.0,16,2,0.000000,s16_p2
1779293474.0,16,3,0.000000,s16_p3
1779293474.0,19,1,0.000000,s19_p1
1779293474.0,19,4,0.000000,s19_p4
1779293474.0,19,2,0.000000,s19_p2
1779293474.0,19,3,0.000000,s19_p3
1779293474.0,9,1,0.000000,s9_p1
1779293474.0,9,4,0.000000,s9_p4
1779293474.0,9,2,0.000000,s9_p2
1779293474.0,9,3,0.000000,s9_p3
1779293474.0,6,1,0.000000,s6_p1
1779293474.0,6,4,0.000000,s6_p4
1779293474.0,6,2,0.000000,s6_p2
1779293474.0,6,3,0.000000,s6_p3
1779293474.0,17,4,0.000000,s17_p4
1779293474.0,17,1,0.000000,s17_p1
1779293474.0,17,2,0.000000,s17_p2
1779293474.0,17,3,0.000000,s17_p3
1779293474.0,11,4,0.000000,s11_p4
1779293474.0,11,1,0.000000,s11_p1
1779293474.0,11,2,0.000000,s11_p2
1779293474.0,11,3,0.000000,s11_p3
1779293474.0,1,4,0.000000,s1_p4
1779293474.0,1,1,0.000000,s1_p1
1779293474.0,1,2,0.000000,s1_p2
1779293474.0,1,3,0.000000,s1_p3
1779293474.0,8,4,0.000000,s8_p4
1779293474.0,8,1,0.000000,s8_p1
1779293474.0,8,2,0.000000,s8_p2
1779293474.0,8,3,0.000000,s8_p3
1779293474.0,6,1,0.000000,s6_p1
1779293474.0,6,4,0.000000,s6_p4
1779293474.0,6,2,0.000000,s6_p2
1779293474.0,6,3,0.000000,s6_p3
1779293474.0,10,4,0.000000,s10_p4
1779293474.0,10,1,0.000000,s10_p1
1779293474.0,10,2,0.000000,s10_p2
1779293474.0,10,3,0.000000,s10_p3
1779293474.0,14,1,0.000000,s14_p1
1779293474.0,14,4,0.000000,s14_p4
1779293474.0,14,2,0.000000,s14_p2
1779293474.0,14,3,0.000000,s14_p3
1779293474.0,15,4,0.000000,s15_p4
1779293474.0,15,1,0.000000,s15_p1
1779293474.0,15,2,0.000000,s15_p2
1779293474.0,15,3,0.000000,s15_p3
1779293474.0,19,1,0.000000,s19_p1
1779293474.0,19,4,0.000000,s19_p4
1779293474.0,19,2,0.000000,s19_p2
1779293474.0,19,3,0.000000,s19_p3
1779293474.0,3,4,0.000000,s3_p4
1779293474.0,3,1,0.000000,s3_p1
1779293474.0,3,2,0.000000,s3_p2
1779293474.0,3,3,0.000000,s3_p3
1779293474.0,13,4,0.000000,s13_p4
1779293474.0,13,1,0.000000,s13_p1
1779293474.0,13,2,0.000000,s13_p2
1779293474.0,13,3,0.000000,s13_p3
1779293474.0,16,1,0.000000,s16_p1
1779293474.0,16,4,0.000000,s16_p4
1779293474.0,16,2,0.000000,s16_p2
1779293474.0,16,3,0.000000,s16_p3
1779293474.0,7,1,0.000000,s7_p1
1779293474.0,7,4,0.000000,s7_p4
1779293474.0,7,2,0.000000,s7_p2
1779293474.0,7,3,0.000000,s7_p3
1779293474.0,5,4,0.000000,s5_p4
1779293474.0,5,1,0.000000,s5_p1
1779293474.0,5,2,0.000000,s5_p2
1779293474.0,5,3,0.000000,s5_p3
1779293474.0,9,1,0.000000,s9_p1
1779293474.0,9,4,0.000000,s9_p4
1779293474.0,9,2,0.000000,s9_p2
1779293474.0,9,3,0.000000,s9_p3
1779293474.0,4,1,0.000000,s4_p1
1779293474.0,4,4,0.000000,s4_p4
1779293474.0,4,2,0.000000,s4_p2
1779293474.0,4,3,0.000000,s4_p3
1779293474.0,18,4,0.000000,s18_p4
1779293474.0,18,1,0.000000,s18_p1
1779293474.0,18,2,0.000000,s18_p2
1779293474.0,18,3,0.000000,s18_p3
1779293474.0,11,4,0.000000,s11_p4
1779293474.0,11,1,0.000000,s11_p1
1779293474.0,11,2,0.000000,s11_p2
1779293474.0,11,3,0.000000,s11_p3
1779293474.0,17,4,0.000000,s17_p4
1779293474.0,17,1,0.000000,s17_p1
1779293474.0,17,2,0.000000,s17_p2
1779293474.0,17,3,0.000000,s17_p3
1779293474.0,20,1,0.000000,s20_p1
1779293474.0,20,4,0.000000,s20_p4
1779293474.0,20,2,0.000000,s20_p2
1779293474.0,20,3,0.000000,s20_p3
1779293474.0,12,4,0.000000,s12_p4
1779293474.0,12,1,0.000000,s12_p1
1779293474.0,12,2,0.000000,s12_p2
1779293474.0,12,3,0.000000,s12_p3
1779293474.0,2,1,0.000000,s2_p1
1779293474.0,2,4,0.000000,s2_p4
1779293474.0,2,2,0.000000,s2_p2
1779293474.0,2,3,0.000000,s2_p3
1779293475.0,6,1,0.000000,s6_p1
1779293475.0,6,4,0.000000,s6_p4
1779293475.0,6,2,0.000000,s6_p2
1779293475.0,6,3,0.000000,s6_p3
1779293475.0,19,1,0.000000,s19_p1
1779293475.0,19,4,0.000000,s19_p4
1779293475.0,19,2,0.000000,s19_p2
1779293475.0,19,3,0.000000,s19_p3
1779293475.0,14,1,0.000000,s14_p1
1779293475.0,14,4,0.000000,s14_p4
1779293475.0,14,2,0.000000,s14_p2
1779293475.0,14,3,0.000000,s14_p3
1779293475.0,15,4,0.000000,s15_p4
1779293475.0,15,1,0.000000,s15_p1
1779293475.0,15,2,0.000000,s15_p2
1779293475.0,15,3,0.000000,s15_p3
1779293475.0,1,4,0.000000,s1_p4
1779293475.0,1,1,0.000000,s1_p1
1779293475.0,1,2,0.000000,s1_p2
1779293475.0,1,3,0.000000,s1_p3
1779293475.0,20,1,0.000000,s20_p1
1779293475.0,20,4,0.000000,s20_p4
1779293475.0,20,2,0.000000,s20_p2
1779293475.0,20,3,0.000000,s20_p3
1779293475.0,10,4,0.000000,s10_p4
1779293475.0,10,1,0.000000,s10_p1
1779293475.0,10,2,0.000000,s10_p2
1779293475.0,10,3,0.000000,s10_p3
1779293475.0,7,1,0.000000,s7_p1
1779293475.0,7,4,0.000000,s7_p4
1779293475.0,7,2,0.000000,s7_p2
1779293475.0,7,3,0.000000,s7_p3
1779293475.0,3,4,0.000000,s3_p4
1779293475.0,3,1,0.000000,s3_p1
1779293475.0,3,2,0.000000,s3_p2
1779293475.0,3,3,0.000000,s3_p3
1779293475.0,8,4,0.000000,s8_p4
1779293475.0,8,1,0.000000,s8_p1
1779293475.0,8,2,0.000000,s8_p2
1779293475.0,8,3,0.000000,s8_p3
1779293475.0,13,4,0.000000,s13_p4
1779293475.0,13,1,0.000000,s13_p1
1779293475.0,13,2,0.000000,s13_p2
1779293475.0,13,3,0.000000,s13_p3
1779293475.0,4,1,0.000000,s4_p1
1779293475.0,4,4,0.000000,s4_p4
1779293475.0,4,2,0.000000,s4_p2
1779293475.0,4,3,0.000000,s4_p3
1779293475.0,17,4,0.000000,s17_p4
1779293475.0,17,1,0.000000,s17_p1
1779293475.0,17,2,0.000000,s17_p2
1779293475.0,17,3,0.000000,s17_p3
1779293475.0,9,1,0.000000,s9_p1
1779293475.0,9,4,0.000000,s9_p4
1779293475.0,9,2,0.000000,s9_p2
1779293475.0,9,3,0.000000,s9_p3
1779293475.0,18,4,0.000000,s18_p4
1779293475.0,18,1,0.000000,s18_p1
1779293475.0,18,2,0.000000,s18_p2
1779293475.0,18,3,0.000000,s18_p3
1779293475.0,11,4,0.000000,s11_p4
1779293475.0,11,1,0.000000,s11_p1
1779293475.0,11,2,0.000000,s11_p2
1779293475.0,11,3,0.000000,s11_p3
1779293475.0,5,4,0.000000,s5_p4
1779293475.0,5,1,0.000000,s5_p1
1779293475.0,5,2,0.000000,s5_p2
1779293475.0,5,3,0.000000,s5_p3
1779293475.0,2,1,0.000000,s2_p1
1779293475.0,2,4,0.000000,s2_p4
1779293475.0,2,2,0.000000,s2_p2
1779293475.0,2,3,0.000000,s2_p3
1779293475.0,12,4,0.000000,s12_p4
1779293475.0,12,1,0.000000,s12_p1
1779293475.0,12,2,0.000000,s12_p2
1779293475.0,12,3,0.000000,s12_p3
1779293475.0,16,1,0.000000,s16_p1
1779293475.0,16,4,0.000000,s16_p4
1779293475.0,16,2,0.000000,s16_p2
1779293475.0,16,3,0.000000,s16_p3
1779293475.0,15,4,0.000000,s15_p4
1779293475.0,15,1,0.000000,s15_p1
1779293475.0,15,2,0.000000,s15_p2
1779293475.0,15,3,0.000000,s15_p3
1779293475.0,19,1,0.000000,s19_p1
1779293475.0,19,4,0.000000,s19_p4
1779293475.0,19,2,0.000000,s19_p2
1779293475.0,19,3,0.000000,s19_p3
1779293475.0,1,4,0.000000,s1_p4
1779293475.0,1,1,0.000000,s1_p1
1779293475.0,1,2,0.000000,s1_p2
1779293475.0,1,3,0.000000,s1_p3
1779293475.0,6,1,0.000000,s6_p1
1779293475.0,6,4,0.000000,s6_p4
1779293475.0,6,2,0.000000,s6_p2
1779293475.0,6,3,0.000000,s6_p3
1779293475.0,10,4,0.000000,s10_p4
1779293475.0,10,1,0.000000,s10_p1
1779293475.0,10,2,0.000000,s10_p2
1779293475.0,10,3,0.000000,s10_p3
1779293475.0,12,4,0.000000,s12_p4
1779293475.0,12,1,0.000000,s12_p1
1779293475.0,12,2,0.000000,s12_p2
1779293475.0,12,3,0.000000,s12_p3
1779293475.0,14,1,0.000000,s14_p1
1779293475.0,14,4,0.000000,s14_p4
1779293475.0,14,2,0.000000,s14_p2
1779293475.0,14,3,0.000000,s14_p3
1779293475.0,13,4,0.000000,s13_p4
1779293475.0,13,1,0.000000,s13_p1
1779293475.0,13,2,0.000000,s13_p2
1779293475.0,13,3,0.000000,s13_p3
1779293475.0,20,1,0.000000,s20_p1
1779293475.0,20,4,0.000000,s20_p4
1779293475.0,20,2,0.000000,s20_p2
1779293475.0,20,3,0.000000,s20_p3
1779293475.0,8,4,0.000000,s8_p4
1779293475.0,8,1,0.000000,s8_p1
1779293475.0,8,2,0.000000,s8_p2
1779293475.0,8,3,0.000000,s8_p3
1779293475.0,3,4,0.000000,s3_p4
1779293475.0,3,1,0.000000,s3_p1
1779293475.0,3,2,0.000000,s3_p2
1779293475.0,3,3,0.000000,s3_p3
1779293475.0,7,1,0.000000,s7_p1
1779293475.0,7,4,0.000000,s7_p4
1779293475.0,7,2,0.000000,s7_p2
1779293475.0,7,3,0.000000,s7_p3
1779293475.0,5,4,0.000000,s5_p4
1779293475.0,5,1,0.000000,s5_p1
1779293475.0,5,2,0.000000,s5_p2
1779293475.0,5,3,0.000000,s5_p3
1779293475.0,16,1,0.000000,s16_p1
1779293475.0,16,4,0.000000,s16_p4
1779293475.0,16,2,0.000000,s16_p2
1779293475.0,16,3,0.000000,s16_p3
1779293475.0,4,1,0.000000,s4_p1
1779293475.0,4,4,0.000000,s4_p4
1779293475.0,4,2,0.000000,s4_p2
1779293475.0,4,3,0.000000,s4_p3
1779293475.0,2,1,0.000000,s2_p1
1779293475.0,2,4,0.000000,s2_p4
1779293475.0,2,2,0.000000,s2_p2
1779293475.0,2,3,0.000000,s2_p3
1779293475.0,9,1,0.000000,s9_p1
1779293475.0,9,4,0.000000,s9_p4
1779293475.0,9,2,0.000000,s9_p2
1779293475.0,9,3,0.000000,s9_p3
1779293475.0,18,4,0.000000,s18_p4
1779293475.0,18,1,0.000000,s18_p1
1779293475.0,18,2,0.000000,s18_p2
1779293475.0,18,3,0.000000,s18_p3
1779293475.0,17,4,0.000000,s17_p4
1779293475.0,17,1,0.000000,s17_p1
1779293475.0,17,2,0.000000,s17_p2
1779293475.0,17,3,0.000000,s17_p3
1779293475.0,11,4,0.000000,s11_p4
1779293475.0,11,1,0.000000,s11_p1
